Tanggal,Kabupaten / Kota,Rata-rata Suhu (°C),Rata-rata Kelembapan (%),Akumulasi Hujan (mm),Total Jam Hujan (Jam),Total Jam Tidak Hujan (Jam),Total Jam Hujan 7 Hari
2026-06-15,Kab. Bengkayang,26.5,84.9,7.4,14,10,14
2026-06-15,Kab. Kapuas Hulu,26.2,90.0,20.1,13,11,13
2026-06-15,Kab. Kayong Utara,26.3,91.3,11.6,9,15,9
2026-06-15,Kab. Ketapang,26.6,86.8,9.0,10,14,10
2026-06-15,Kab. Kubu Raya,26.5,88.6,13.7,11,13,11
2026-06-15,Kab. Landak,26.5,86.9,10.4,10,14,10
2026-06-15,Kab. Melawi,26.3,91.3,8.0,12,12,12
2026-06-15,Kab. Mempawah,27.0,85.3,4.1,13,11,13
2026-06-15,Kab. Sambas,27.1,84.1,3.0,8,16,8
2026-06-15,Kab. Sanggau,26.4,88.3,6.2,14,10,14
2026-06-15,Kab. Sekadau,26.1,91.8,12.6,13,11,13
2026-06-15,Kab. Sintang,26.3,90.2,24.3,14,10,14
2026-06-15,Kota Pontianak,26.7,88.0,9.0,12,12,12
2026-06-15,Kota Singkawang,26.9,86.6,8.3,9,15,9
