Kabupaten,Jumat 28/08,Sabtu 29/08,Minggu 30/08,Senin 31/08,Selasa 01/09,Rabu 02/09,Kamis 03/09,Total 7 Hari,generated_at
Sambas,0,0,0,0,0,0,0,0,2026-09-03 19:29
Bengkayang,0,0,0,0,0,0,0,0,2026-09-03 19:29
Landak,0,0,0,0,0,0,0,0,2026-09-03 19:29
Mempawah,0,0,0,0,0,0,0,0,2026-09-03 19:29
Sanggau,0,0,0,0,0,0,0,0,2026-09-03 19:29
Ketapang,0,0,0,0,0,0,0,0,2026-09-03 19:29
Sintang,0,0,0,0,0,0,0,0,2026-09-03 19:29
Kapuas Hulu,0,0,0,0,0,0,0,0,2026-09-03 19:29
Sekadau,0,0,0,0,0,0,0,0,2026-09-03 19:29
Melawi,0,0,0,0,0,0,0,0,2026-09-03 19:29
Kayong Utara,0,0,0,0,0,0,0,0,2026-09-03 19:29
Kubu Raya,0,0,0,0,0,0,0,0,2026-09-03 19:29
Pontianak,0,0,0,0,0,0,0,0,2026-09-03 19:29
Singkawang,0,0,0,0,0,0,0,0,2026-09-03 19:29
